id,cost,status,xloc,yloc
71,10331.083145,0,44.0139365338192,-67.2353190959998
72,10149.125532,0,44.2196935987561,-67.2353190960001
73,10001.627822,0,44.4254506626769,-67.2353190960013
74,10077.481814,0,42.2650014418943,-67.1759221205012
75,10246.899404,0,42.4707585151472,-67.1759221205035
76,10940.531267,0,42.6765155874612,-67.1759221205036
77,10569.329865,0,42.882272658811,-67.1759221205027
78,10616.196483,0,43.0880297292029,-67.1759221205027
79,10418.157798,0,43.2937867986268,-67.1759221205024
80,10103.822029,0,43.4995438670652,-67.1759221205035
81,10130.754143,0,43.7053009345184,-67.175922120503
82,10035.735087,0,43.911058000971,-67.1759221205021
83,15684.580745,0,44.1168150664149,-67.1759221205019
84,10108.618716,0,44.3225721308437,-67.1759221205012
85,17406.378383,0,42.1621229049204,-67.1165251449997
86,11085.167398,0,42.3678799786414,-67.1165251450001
87,10038.975523,0,42.5736370514241,-67.1165251449988
88,10690.742642,0,42.7793941232555,-67.1165251450002
89,11393.009529,0,42.9851511941277,-67.1165251449994
90,10711.092959,0,43.1909082640326,-67.1165251449962
91,10205.976212,0,43.396665332968,-67.1165251449999
92,10583.438231,0,43.6024224009108,-67.1165251449998
93,10119.109774,0,43.8081794678646,-67.1165251450008
94,10203.682999,0,44.0139365338197,-67.1165251449996
95,16129.736716,0,44.2196935987573,-67.1165251450007
96,10119.819232,0,44.4254506626765,-67.1165251450002
97,24447.167492,0,42.0592443677076,-67.0571281694982
98,10236.121128,0,42.2650014418946,-67.0571281694991
99,10168.814105,0,42.470758515148,-67.0571281694974
100,11091.444131,0,42.6765155874597,-67.0571281694982
101,11472.778906,0,42.8822726588104,-67.0571281694968
102,10361.190603,0,43.0880297292031,-67.0571281694981
103,11118.479881,0,43.2937867986252,-67.057128169498
104,10160.018451,0,43.4995438670658,-67.0571281694981
105,10310.424878,0,43.7053009345186,-67.0571281694982
106,10086.034984,0,43.9110580009714,-67.0571281694994
107,16698.166224,0,44.1168150664135,-67.0571281694985
108,16096.466894,0,44.3225721308442,-67.0571281694999
109,10424.034666,0,41.9563658302614,-66.9977311940019
110,23804.563352,0,42.1621229049193,-66.9977311939995
111,10963.154637,0,42.3678799786418,-66.9977311939988
112,10055.440717,0,42.5736370514238,-66.9977311940005
113,10556.679246,0,42.7793941232566,-66.9977311940013
114,11086.666688,0,42.9851511941288,-66.9977311940013
115,10085.521811,0,43.1909082640336,-66.9977311940012
